"zip","price","sq_ft","lot_size","beds","baths","age","daysOnMarket"
"90002","420000","1266","2378","3","1.5","1993","97"
"90044","383225","1428","5416","3","2","1937","40"
"90039","1075000","1843","4621","4","3","1923","49"
"90034","1415000","2194","5018","4","6","2018","46"
"90046","2791759","3162","0.28","4","3","1959","151"
"90066","1250000","1101","4901","2","2","1949","46"
"90066","1684000","2946","7774","4","3","1948","190"
"90043","530000","2031","4000","4","3","1928","170"
"90062","933500","3441","6075","7","7","1924",""
"90042","542000","1148","4.98","2","2","1987","49"
"90046","590000","1184","1.53","2","2","1973","43"
"90001","460000","982","2942","3","2","1925","49"
"90042","4800000","12004","0.31","31","16","1990",""
"90046","925000","2740","0.26","3","3","2006","50"
"90044","383225","1428","5416","3","2","1937","40"
"90043","711000","1664","5400","3","2","1930","42"
"90029","675000","816","2811","2","1","1922","81"
"90064","2265000","3713","4130","6","6","1937","64"
"90027","1900000","4532","7725","6","4","1941","56"
"90034","1300000","2065","0","3","4.5","2018","52"
"90037","830000","1075","5208","2","1","1907","441"
"90013","1280000","1910","0.99","2","2","1923","35"
"90047","480000","1459","5576","2","1","1939","59"
"90066","1565000","1774","4798","3","3","1948","83"
"90018","554900","961","4140","2","1","1940","28"
"90042","735000","1272","4784","3","2","1922","94"
"90011","510000","1587","6251","0","0","1952","65"
"90026","1400000","5200","8001","0","0","1927","233"
"90006","845000","3626","0","0","0","1906","160"
"90011","440000","1836","4638","0","0","1904","49"
"90069","790000","1339","0.89","2","2","1965","39"
"90022","390000","808","5961","2","1","1926","99"
"90001","585000","3347","0","0","0","1915","387"
"90057","525000","1309","0.99","2","2","1971","55"
"90025","1500000","1731","6195","2","1","1941","71"
"90064","2950000","3621","7590","4","4.5","1937","61"
"90069","549000","989","0.92","1","1.5","1969","42"
"90068","1095000","1713","6071","3","2","1957","29"
"90066","1430000","1284","6422","3","3","1941","134"
"90063","470000","1160","4461","3","1","1931","69"
"90025","2595000","2561","6071","3","3","1938","59"
"90019","789000","1632","0","3","2","2019","90"
"90014","762500","890","0.52","0","1","1930","29"
"90045","1377500","1993","6153","3","3","1951","34"
"90049","4430000","3768","0.52","4","6","1979","62"
"90066","460000","778","3.28","1","1","1970","35"
"90077","1800000","1925","0.69","4","3","1954","131"
"90024","2100000","2874","0.94","2","3","1982","132"
"90061","485000","1098","6579","4","2","1947","45"
"90002","399500","1181","4229","3","1","1935","34"
"90024","1000000","1654","0.75","2","2","1980","56"
"90045","591500","1618","0.56","2","3","1991","40"
"90043","800000","1480","8368","3","2","1938","66"
"90063","455000","890","5183","2","1","1959","36"
"90094","1875000","2304","1.2","4","4","2015","125"
"90077","2900000","2724","0.42","3","4.5","1955","45"
"90008","1990000","3332","9016","4","6","1951","62"
"90022","460000","1150","3884","3","1","1948","48"
"90022","357500","837","6399","2","1","1912","177"
"90034","1025000","2092","6587","3","2","1941","141"
"90077","1400000","1852","4320","3","2","1959","42"
"90049","400000","475","1.15","1","1","1973","131"
"90022","478000","1283","3831","3","2","1928","58"
"90041","770000","1552","6543","3","2","1922","33"
"90033","580000","1309","5883","0","0","1924","305"
"90044","565000","1625","4083","3","2","1932","67"
"90065","1100000","2362","9327","4","3","1965","189"
"90005","480000","960","0.31","2","2","2006","-1"
"90006","772432","2160","0","0","0","1900","200"
"90023","490000","1912","4809","0","0","1925","-1"
"90037","652200","2171","5000","0","0","1910","174"
"90059","3456818","768","5607","2","1","1951","3429"
"90048","1100000","1563","0.4","2","3","2005","40"
"90042","853000","1120","3000","2","2","1901","44"
"90025","795000","1117","0.43","2","2","1987","82"
"90022","410000","923","4220","2","1","1941","178"
"90024","1343250","2082","0.94","3","3","1961","56"
"90006","null","1280","0.29","2","0","0",""
"90065","1250000","1510","5074","3","2","1949","47"
"90033","950000","4200","6230","9","6","1957","846"
"90046","430000","783","0.74","1","2","1965","70"
"90046","699000","1528","0.67","2","2","1960","41"
"90025","789000","1182","0.3","2","2","1980","44"
"90068","495000","928","0.42","1","1","1965","50"
"90049","1307500","1672","0.36","3","3","2010","42"
"90019","886000","986","6885","2","1","1924","22"
"90026","1085000","1365","1934","2","3","2015","33"
"90042","2520000","8720","0.45","16","12","1960","5150"
"90049","5775000","3244","0.27","4","4","1948","75"
"90031","588000","1056","5099","3","1","1923","98"
"90045","1750000","2848","5750","5","4.5","1941","50"
"90025","1026000","1710","6500","2","2","1979","37"
"90006","1800000","7042","7613","14","13","1962",""
"90048","1950000","3914","6252","6","4","1936",""
"90045","1300000","1753","6151","3","3","1944","41"
"90046","2100000","2440","0.35","4","4","1992",""
"90004","3145000","2952","0.23","5","4","1922",""
"90012","520000","1323","2.84","2","2","1982","41"
"90018","725000","1437","6526","3","2","1940","58"
"90002","300000","1834","5016","2","1","1944",""
"90003","845000","1036","5490","3","1","1922","5730"
"90061","375000","769","6253","1","1","1921","63"
"90048","3175000","2403","4800","3","4","2015","989"
"90094","839000","1230","0.91","2","2","2003","28"
"90059","305000","990","5831","2","1","1945","64"
"90094","839000","1230","0.91","2","2","2003","28"
"90048","3175000","2403","4800","3","4","2015","989"
"90041","705000","1895","6603","3","2","1924","48"
"90026","1300000","1774","7500","3","2","1962","173"
"90230","893000","1628","2.87","3","3","1967","147"
"90022","505000","952","4047","2","1","1948","1"
"90043","735000","1597","6003","3","2","1925","32"
